"","data_element_text","data_type_text","additive_group","data_element_text_new","Frequency","Intensity","Requirement_category"
"1","SVP","> 1 MONTH,  = 3 MONTHS",10,"SVP",100,4,"SVP"
"2","SVP","> 1 YEAR,  = 2 YEARS",10,"SVP",100,20,"SVP"
"3","SVP","> 2 YEARS,  = 4 YEARS",10,"SVP",100,40,"SVP"
"4","SVP","> 3 MONTHS,  = 6 MONTHS",10,"SVP",100,5,"SVP"
"5","SVP","> 4 YEARS,  = 10 YEARS",10,"SVP",100,60,"SVP"
"6","SVP","> 6 MONTHS,  = 1 YEAR",10,"SVP",100,8,"SVP"
"7","SVP",">SHORT DEMO, = 1 MONTH",10,"SVP",100,1,"SVP"
"8","SVP","OVER 10 YEARS",10,"SVP",100,100,"SVP"
"9","SVP","SHORT DEMO ONLY",10,"SVP",100,0,"SVP"
"10","Pre-employment training","NO",12,"Pre-employment training",0,100,"SVP"
"11","Pre-employment training","YES",12,"Pre-employment training",100,100,"SVP"
"12","Prior work experience","NO",13,"Prior work experience",0,100,"SVP"
"13","Prior work experience","YES",13,"Prior work experience",100,100,"SVP"
"14","On the Job Training","NO",14,"On the Job Training",0,100,"SVP"
"15","On the Job Training","YES",14,"On the Job Training",100,100,"SVP"
"16","Sitting vs. standing/walking at will","NO",15,"Sitting vs. standing/walking at will",0,100,"P"
"17","Sitting vs. standing/walking at will","YES",15,"Sitting vs. standing/walking at will",100,100,"P"
"18","Reaching overhead","NOT PRESENT",16,"Reaching",0,100,"P"
"19","Reaching overhead","OCCASIONALLY",16,"Reaching",33,100,"P"
"20","Reaching overhead","SELDOM",16,"Reaching",2,100,"P"
"21","Reaching overhead","FREQUENTLY",16,"Reaching",67,100,"P"
"22","Reaching at/below the shoulder","CONSTANTLY",18,"Reaching",100,50,"P"
"23","Reaching at/below the shoulder","FREQUENTLY",18,"Reaching",67,50,"P"
"24","Reaching at/below the shoulder","NOT PRESENT",18,"Reaching",0,50,"P"
"25","Reaching at/below the shoulder","OCCASIONALLY",18,"Reaching",33,50,"P"
"26","Reaching at/below the shoulder","SELDOM",18,"Reaching",2,50,"P"
"27","Keyboarding: Traditional","CONSTANTLY",20,"Keyboarding: Traditional",100,100,"P"
"28","Keyboarding: Traditional","FREQUENTLY",20,"Keyboarding: Traditional",67,100,"P"
"29","Keyboarding: Traditional","NOT PRESENT",20,"Keyboarding: Traditional",0,100,"P"
"30","Keyboarding: Traditional","OCCASIONALLY",20,"Keyboarding: Traditional",33,100,"P"
"31","Keyboarding: Traditional","SELDOM",20,"Keyboarding: Traditional",2,100,"P"
"32","Lifting/carrying: Seldom","> 10 LBS, = 25 LBS",24,"Lifting/carrying",2,10,"P"
"33","Lifting/carrying: Seldom","> 100 LBS",24,"Lifting/carrying",2,100,"P"
"34","Lifting/carrying: Seldom","> 25 LBS, = 50 LBS",24,"Lifting/carrying",2,25,"P"
"35","Lifting/carrying: Seldom","> 50 LBS, = 75 LBS",24,"Lifting/carrying",2,50,"P"
"36","Lifting/carrying: Seldom","> 75 LBS, = 100 LBS",24,"Lifting/carrying",2,75,"P"
"37","Lifting/carrying: Seldom",">= 1 LBS, = 10 POUNDS",24,"Lifting/carrying",2,1,"P"
"38","Lifting/carrying: Seldom","NEGLIGIBLE",24,"Lifting/carrying",2,0.5,"P"
"39","Lifting/carrying: Seldom","NONE",24,"Lifting/carrying",2,0,"P"
"40","Lifting/carrying: Occasionally","> 10 LBS, = 25 LBS",25,"Lifting/carrying",33,10,"P"
"41","Lifting/carrying: Occasionally","> 25 LBS, = 50 LBS",25,"Lifting/carrying",33,25,"P"
"42","Lifting/carrying: Occasionally","> 50 LBS, = 75 LBS",25,"Lifting/carrying",33,50,"P"
"43","Lifting/carrying: Occasionally","> 75 LBS, = 100 LBS",25,"Lifting/carrying",33,75,"P"
"44","Lifting/carrying: Occasionally",">= 1 LBS, = 10 POUNDS",25,"Lifting/carrying",33,1,"P"
